'bout|bao 
'cause|cơ
'course|co
'cuse|cờ du
'em|ơm
'frisco|phờ rít câu 
'gain|gen
'kay|cây 
'm|ơm
'n|ơn
'round|rao
's|ét
'til|tiu
'tis|ti
'twas|tờ guơ
a|ơ
a|ơ
a's|ây
a.|ây 
a.'s|ây
a.d.|ây đi
a.m.|ây em
a.s|ây
aaa|tri pơ lây 
aaberg|a bớc
aachen|a cừn
aachener|a cơ nơ
aaker|a cơ
aaliyah|a lia 
aalseth|an xét
aamodt|a mớt
aancor|an co
aardema|a đe mơ
aardvark|a đờ va
aardvarks|a đờ va
aargh|a
aarhus|a hút
aaron|e rừn
aaron's|e rừn
aarons|e rừn
aaronson|e rừn xừn
aaronson|e rừn xừn
aaronson's|e rừn xừn
aaronson's|e rừn xừn
aarti|a ti
aase|át
aasen|a xừn
ab|áp
ab|áp
aba|ây bi ây 
ababa|ơ ba bơ
ababa|ơ ba bơ
abacha|a bơ cơ
aback|ơ bác
abaco|a bơ câu 
abacus|a bơ cớt
abad|ơ bát
abadaka|ơ ba đơ cơ
abadi|ơ ba đi
abadie|ơ ba đi
abair|ơ be
abalkin|ơ ban kin
abalone|a bơ lâu ni
abalones|a bơ lâu ni
abalos|a ba lâu
abandon|ơ ban đừn
abandoned|ơ ban đừn
abandoning|ơ ban đơ ning
abandonment|ơ ban đừn mừn
abandonments|ơ ban đừn mừn
abandons|ơ ban đừn
abanto|ơ ban tâu 
abarca|ơ ba cơ
abare|a ba ri
abascal|a bớt cồ
abash|ơ bát
abashed|ơ bát
abasia|ơ bây dờ dơ
abate|ơ bết
abated|ơ bết tít
abatement|ơ bết mừn
abatements|ơ bết mừn
abates|ơ bết
abating|ơ bết ting
abattoir|a bớt gua
abba|a bơ
abbado|ơ ba đâu 
abbas|ơ bát
abbasi|a ba xi
abbate|a bết
abbatiello|a ba ti e lâu 
abbe|a bi
abbe|a bi
abbenhaus|a bừn hao 
abbett|ơ bét
abbeville|áp viu
abbey|a bi
abbey's|a bi
abbie|a bi
abbitt|a bít
abbot|a bớt
abbotstown|a bớt xờ tao
abbott|a bớt
abbott's|a bớt
abbottstown|a bớt xờ tao
abboud|ơ bút
abboud|ơ bút
abbreviate|ớp ri vi ết
abbreviated|ớp ri vi ết tít
abbreviates|ớp ri vi ết
abbreviating|ớp ri vi ết ting
abbreviation|ớp ri vi ây sừn
abbreviations|ớp ri vi ây sừn
abbruzzese|áp rút xây di
abbs|áp
abby|a bi
abc|ây bi xi
abc's|ây bi xi
abco|áp câu 
abcotek|áp câu téc
abcs|ây bi xi
abd|ây bi đi
abdalla|áp đa lơ
abdallah|áp đa lơ
abdel|áp đeo
abdella|áp đe lơ
abdicate|áp đơ kết
abdicated|áp đơ kết tít
abdicates|áp đơ kết
abdicating|áp đi kết ting
abdication|áp đi cây sừn
abdnor|áp đờ nơ
abdo|áp đâu 
abdollah|áp đa lơ
abdomen|áp đâu mừn
abdomen|áp đâu mừn
abdominal|áp đa mơ nồ
abdominal|áp đa mơ nồ
abduct|áp đắc
abducted|áp đắc tít
abducted|áp đắc tít
abductee|áp đắc ti
abductees|áp đắc ti
abducting|áp đắc ting
abducting|áp đắc ting
abduction|áp đắc sừn
abduction|áp đắc sừn
abductions|áp đắc sừn
abductions|áp đắc sừn
abductor|áp đắc tơ
abductor|áp đắc tơ
abductors|áp đắc tơ
abductors|áp đắc tơ
abducts|áp đắc
abdul|áp đun
abdulaziz|áp đu lơ di
abdulla|áp đu lơ
abdullah|áp đơ lơ
abe|ây
