mobifone|mô bi phôn
viettel|việt theo
vinaphone|vi na phôn
vietnamobile|việt nam mô bai
grab|gờ ráp
uber|u bơ
vinamilk|vi na miu
vccorp|vi xi cọp
vingroup|vin gờ rúp
petrolimex|pê trô li mếch
sabeco|sa bê cô
masan|ma san
fpt|ép pê tê
vietcombank|việt com banh
vietinbank|việt tin banh
bidv|bi ai đi vi
airlines|e lai
nutifood|nu ti phút
vietjet|việt dét
mbbank|mờ bê bank
habeco|ha bê cô
png|pi en di
novaland|nô va len
traphaco|tra pha cô
pvi|pê vê i
ACB|a xê bê
biti|bi tít
acecook|a xe cúc
oishi|oi si
dutch|đớt
lady|lây đi
aquafina|a qua phi na
lavie|la vi
cocacola|cô ca cô la
coca|cô ca
cola|cô la
orion|o ri on
pepsi|pép xi
highland|hai len
everon|e ve ron
ps|pê ét
colgate|côn gát
sunhouse|săn hau
philips|phi líp
goldhouse|gôn hau
goviet|gâu việt
jestar|dét xờ ta
pacific|pa xi phíc
vinhome|vin hôm
ajinomoto|a di nô mô tô
nissin|ni sin
vinmart|vin mát
lotte|lót te
lotteria|lót te ri a
kfc|ca ép xê
popeyes|pốp ai
rohto|rô tô
kotobuki|cô tô bu ki
pepsico|pép xi cô
ministop|mi ni xờ tóp
vinabico|vi na bi cô
cholimex|chô li mếch
louis|lu i
vuitton|vu từn
chanel|che nồ
prada|pờ ra đa
hermes|hơ mẹc
burberry|bơ be ri
gucci|gu chì
starbucks|xờ ta bấc
mcdonald|mác đô nờ
