obama|ô ba ma
messi|mét xi
ronaldo|rô nan đô
lionel|li ô neo
cristiano|cờ rít ti a nô
paul|pau
divid|đa vít
anthony|an thô ni
de|đờ
gea|ghê a
harry|ha ri
donald|đô nan
trump|trăm
wiliam|guy li am
grover|gờ rô vơ
cleveland|cờ le vơ len
henry|hen ri
harrison|ha ri xơn
zachary|da cha ri
taylor|thây lơ
warren|goa ren
harding|ha đing
franklin|phờ ranh cờ lin 
roosevelt|ru dơ ven
abraham|a bờ ra ham
lincoln|lin côn
james|dêm
garfield|ga phiu
mckinley|mác kin li
john|dôn
kenedy|ke ne đi
nixon|níc xơn
richard|ri chát
washingtơn|goa sinh tơn
george|dóc
barack|ba rắc
andrew|an đờ riu
jackson|dắc sơn
adams|a đam
eva|e va
thomas|thô mát
jefferson|de phơ sơn
madison|ma đi sơn
quincy|quyn xi 
martin|mác tin
fillmore|phiu mo 
rutherford|ru dơ pho
chester|chét xờ tơ
park|pác
gareth|ga rét
bale|bêu
griezmann|gờ ri dơ man 
antoine|an toi ne
luis|lu i
suarez|su ơ rét
neymar|nây ma
riyard|ri dát
mahrez|ma rét
pepe|pê pê
aubameyang|au bam mây dang
ibrahimovic|i bờ ra hi mo víc
sanchez|san chét
modric|mo đờ rích
andres|an đờ rét
mike|mai cơ
laden|la đen
